event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BGD27990,"01 August 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Dhaka,Narayanganj,"Narayanganj Sadar",Narayanganj,23.6135,90.503,1,"Prothom Alo",National,"On 1 August 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Narayanganj city, Narayanganj Sadar (Dhaka), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces charged batons and dispersed the protesters, injuring 2 of them.",0,"crowd size=no report",1728407772
BGD27905,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","GM: Ganatantra Mancha",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Paltan,"Dhaka - Paltan",23.7333,90.4125,1,"New Age (Bangladesh)",National,"On 31 July 2024, members of Ganatantra Mancha staged a protest rally at Dhaka - Paltan (Paltan), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1722974431
BGD27928,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Lawyers (Bangladesh); Students (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Chittagong,Chittagong,Pahartali,Chittagong,22.3571,91.7823,1,"New Age (Bangladesh)",National,"On 31 July 2024, hundreds of protesters, including students and lawyers staged a protest in front of Chattogram Court Building premises, Chittagong city (Pahartali), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=hundreds",1722974431
BGD27929,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","LDA: Left Democratic Alliance",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Khulna,Magura,"Magura Sadar",Magura,23.487,89.4159,1,"Prothom Alo",National,"On 31 July 2024, members of Left Democratic Alliance staged a protest in front of Magura Press Club, Magura Sadar (Khulna), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1722974431
BGD27930,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","JSD: Jatiya Samajtantrik Dal; LDA: Left Democratic Alliance",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Sylhet,Sylhet,"Sylhet Sadar",Sylhet,24.899,91.872,1,"Prothom Alo",National,"On 31 July 2024, members of civil society organizations, joined by the Left Democratic Alliance, Anti-Fascist Left Front and JSD, staged a protest in front of Central Shaheed Minar, Sylhet city, Sylhet Sadar, demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1722974431
BGD27933,"31 July 2024",2024,1,"Political violence",Battles,"Armed clash","Rohingya Muslim Militia (Myanmar)","Refugees/IDPs (Myanmar)","Identity militia","Rohingya Muslim Militia (Myanmar)","Refugees/IDPs (Myanmar)","Identity militia","Identity militia-Identity militia",,50,"South Asia",Bangladesh,Chittagong,"Cox's Bazar",Ukhia,Ukhiya,21.245,92.1375,2,"New Age (Bangladesh)",National,"On 31 July 2024, two groups of Rohingya community engaged in a gunfight at a refugee camp in Ukhia upazila (coded to Ukhiya, Cox's Bazar, Chittagong), over establishing supremacy. 1 person was killed in the clash.",1,,1722974431
BGD27993,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Teachers (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Mohammadpur,"Dhaka - Mohammadpur",23.7602,90.3509,1,"New Age (Bangladesh)",National,"On 31 July 2024, teachers of ULAB staged a protest on campus in Dhaka - Mohammadpur (Mohammadpur), demanding justice for deaths during the quota reform movement, and the release of students detained by police forces.",0,"crowd size=no report",1722974431
BGD28000,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","AL: Bangladesh Awami League; BNP: Bangladesh Nationalist Party; Teachers (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Rajshahi,Rajshahi,Boalia,Rajshahi,24.374,88.6011,1,"New Age (Bangladesh)",National,"On 31 July 2024, several hundred pro-Awami League and pro-BNP teachers, joined by members of Jatiyatabadi Teachers Forum, staged separate protests on campus in Rajshahi city (Boalia), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=several 100",1722974432
BGD28001,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); Teachers (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Shahbagh,"Dhaka - Shahbagh",23.7317,90.3959,1,"New Age (Bangladesh)",National,"On 31 July 2024, teachers of BUET university, joined by students, staged a protest in front of Central Shaheed Minar in Dhaka - Shahbagh (Shahbagh), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1722974432
BGD28002,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); Teachers (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Savar,Savar,23.8486,90.25,1,"Dhaka Tribune",National,"On 31 July 2024, students and teachers of Jahangirnagar University staged a protest on campus in Savar city (Dhaka), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1722974432
BGD27931,"31 July 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Bangladesh)","Civilians (Bangladesh); Journalists (Bangladesh); JSD: Jatiya Samajtantrik Dal; Students (Bangladesh)",Rioters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Rioters",,50,"South Asia",Bangladesh,Barisal,Barisal,"Barisal Sadar",Barisal,22.705,90.3701,1,"New Age (Bangladesh)",National,"On 31 July 2024, students, including members of Samajtantrik Dal (JSD), clashed with police forces in Barisal city, Barisal Sadar, during their demonstration demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces claimed that the demonstrators vandalized cars and threw bricks. At least 50 people, including 5 journalists, were injured in the clash.",0,"crowd size=no report",1724113673
